game;discipline;medal;athlete
1928 Summer;Swimming Women's 100 metres Freestyle;Silver;Eleanor Agnes Garatti-Saville
1928 Summer;Swimming Women's 100 metres Freestyle;Gold;Albina Lucy Charlotte Osipowich (-Van Aken)
1928 Summer;Swimming Women's 200 metres Breaststroke;Bronze;"Charlotte ""Lotte"" Mhe (-Eschrich)"
1928 Summer;Swimming Women's 200 metres Breaststroke;Silver;"Mietje ""Marie"" Baron (-du Puy)"
1928 Summer;Swimming Women's 200 metres Breaststroke;Gold;"Hildegard ""Hilde"" Schrader (-Lux)"
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze;Mary Esther Bedford (-Marran)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze;Rhoda Lilian Rennie (-Wrighton)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze;Kathleen Russell (-Barlow)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze;"Frederika Jacoba ""Freddie"" van der Goes"
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Silver;Margaret Joyce Cooper (-Badcock)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Silver;Ellen Elizabeth King (-McPhearson, -Pearson)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Silver;"Sarah Gillow Marshall ""Cissie"" Stewart (-Hunt)"
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Silver;Iris Vera Tanner (-Murrell, -Curran)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Gold;Eleanor Agnes Garatti-Saville
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Gold;"Susanne E. ""Susan"" Laird (-Scavey)"
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Gold;Adelaide T. Lambert (-Ballard)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Gold;Josephine Eveline McKim (-Chalmers)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Gold;Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)
1928 Summer;Swimming Women's 4 x 100 metres Freestyle Relay;Gold;Albina Lucy Charlotte Osipowich (-Van Aken)
1928 Summer;Swimming Women's 400 metres Freestyle;Bronze;Josephine Eveline McKim (-Chalmers)
1928 Summer;Swimming Women's 400 metres Freestyle;Silver;"Maria Johanna ""Zus"" Philipsen-Braun"
1928 Summer;Swimming Women's 400 metres Freestyle;Gold;Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)
1928 Summer;Water Polo Men's Water Polo;Bronze;mile Joseph Bulteel
1928 Summer;Water Polo Men's Water Polo;Bronze;Henri Gaspard Cuvelier
1928 Summer;Water Polo Men's Water Polo;Bronze;Paul Lon Auguste Louis Joseph Dujardin
1928 Summer;Water Polo Men's Water Polo;Bronze;Jules Keignaert
1928 Summer;Water Polo Men's Water Polo;Bronze;Henri Antoine Padou, Sr.
1928 Summer;Water Polo Men's Water Polo;Bronze;Ernest Clovis Rogez
1928 Summer;Water Polo Men's Water Polo;Bronze;Albert Marius Thvenon
1928 Summer;Water Polo Men's Water Polo;Bronze;Achille Charles Marcel Tribouillet
1928 Summer;Water Polo Men's Water Polo;Bronze;Albert Dsir Vandeplancke
1928 Summer;Water Polo Men's Water Polo;Silver;Istvn Barta (Berger)
1928 Summer;Water Polo Men's Water Polo;Silver;Olivr Halassy (Haltmayer)
1928 Summer;Water Polo Men's Water Polo;Silver;Mrton Homonnai (Hlavacsek-)
1928 Summer;Water Polo Men's Water Polo;Silver;Sndor Ivdy
1928 Summer;Water Polo Men's Water Polo;Silver;Alajos Keser
1928 Summer;Water Polo Men's Water Polo;Silver;Ferenc Keser
1928 Summer;Water Polo Men's Water Polo;Silver;Jzsef Vrtesy (Vrbel-)
1928 Summer;Water Polo Men's Water Polo;Gold;Max Amann
1928 Summer;Water Polo Men's Water Polo;Gold;Karl Bhre
1928 Summer;Water Polo Men's Water Polo;Gold;Emil Benecke
1928 Summer;Water Polo Men's Water Polo;Gold;Johann Blank
1928 Summer;Water Polo Men's Water Polo;Gold;Otto Cordes
1928 Summer;Water Polo Men's Water Polo;Gold;"Fritz ""Itze"" Gunst"
1928 Summer;Water Polo Men's Water Polo;Gold;Fritz Albert Erich Rademacher
1928 Summer;Water Polo Men's Water Polo;Gold;Joachim Rademacher
1928 Summer;Weightlifting Men's Featherweight;Bronze;"Johannes ""Hans"" Wlpert"
1928 Summer;Weightlifting Men's Featherweight;Silver;Pierino Gabetti
1928 Summer;Weightlifting Men's Featherweight;Gold;Franz Josef Andrysek
1928 Summer;Weightlifting Men's Heavyweight;Bronze;Jaroslav Skobla
1928 Summer;Weightlifting Men's Heavyweight;Silver;Arnold Luhar
1928 Summer;Weightlifting Men's Heavyweight;Gold;Josef Straberger
1928 Summer;Weightlifting Men's Light-Heavyweight;Bronze;"Johannes ""Jan"" Verheijen"
1928 Summer;Weightlifting Men's Light-Heavyweight;Silver;Louis Hostin
1928 Summer;Weightlifting Men's Light-Heavyweight;Gold;El-Sayed Mohamed Nosseir
1928 Summer;Weightlifting Men's Lightweight;Bronze;Fernand Clment Arnout
1928 Summer;Weightlifting Men's Lightweight;Gold;Hans Haas
1928 Summer;Weightlifting Men's Lightweight;Gold;Kurt Helbig
1928 Summer;Weightlifting Men's Middleweight;Bronze;"August ""Guus"" Scheffer"
1928 Summer;Weightlifting Men's Middleweight;Silver;Carlo Galimberti
1928 Summer;Weightlifting Men's Middleweight;Gold;Joseph Roger Franois
1928 Summer;Wrestling Men's Bantamweight, Freestyle;Bronze;"James ""Jim"" Trifunov"
1928 Summer;Wrestling Men's Bantamweight, Freestyle;Silver;C. Edmond Spapen
1928 Summer;Wrestling Men's Bantamweight, Freestyle;Gold;Kaarlo Edvin Mkinen
1928 Summer;Wrestling Men's Bantamweight, Greco-Roman;Bronze;Giovanni Gozzi
1928 Summer;Wrestling Men's Bantamweight, Greco-Roman;Silver;Jindich Maudr
1928 Summer;Wrestling Men's Bantamweight, Greco-Roman;Gold;Kurt Leucht
1928 Summer;Wrestling Men's Featherweight, Freestyle;Bronze;Hans Minder
1928 Summer;Wrestling Men's Featherweight, Freestyle;Silver;Kustaa Kustaanpoika Pihlajamki
1928 Summer;Wrestling Men's Featherweight, Freestyle;Gold;"Alvin Roy ""Allie"" Morrison"
1928 Summer;Wrestling Men's Featherweight, Greco-Roman;Bronze;Gerolamo Quaglia
1928 Summer;Wrestling Men's Featherweight, Greco-Roman;Silver;Erik Malmberg
1928 Summer;Wrestling Men's Featherweight, Greco-Roman;Gold;Voldemar Vli
1928 Summer;Wrestling Men's Heavyweight, Freestyle;Bronze;Edmond Dame
1928 Summer;Wrestling Men's Heavyweight, Freestyle;Silver;Aukusti Sihvola
1928 Summer;Wrestling Men's Heavyweight, Freestyle;Gold;Johan Cornelius Richthoff
1928 Summer;Wrestling Men's Heavyweight, Greco-Roman;Bronze;Georg Gehring
1928 Summer;Wrestling Men's Heavyweight, Greco-Roman;Silver;Hjalmar Eemil Nystrm
1928 Summer;Wrestling Men's Heavyweight, Greco-Roman;Gold;Johan Rudolf Svensson
1928 Summer;Wrestling Men's Light-Heavyweight, Freestyle;Bronze;Henri Charles Lefbvre
1928 Summer;Wrestling Men's Light-Heavyweight, Freestyle;Silver;Arnold Bgli
1928 Summer;Wrestling Men's Light-Heavyweight, Freestyle;Gold;"Ture Sigvard ""Thure"" Sjstedt"
1928 Summer;Wrestling Men's Light-Heavyweight, Greco-Roman;Bronze;Onni Wilhelm Pellinen
1928 Summer;Wrestling Men's Light-Heavyweight, Greco-Roman;Silver;Adolf Rieger
1928 Summer;Wrestling Men's Light-Heavyweight, Greco-Roman;Gold;Ibrahim Moustafa
1928 Summer;Wrestling Men's Lightweight, Freestyle;Bronze;Eino Aukusti Leino
1928 Summer;Wrestling Men's Lightweight, Freestyle;Silver;Charles Bnoni Louis Pacme
1928 Summer;Wrestling Men's Lightweight, Freestyle;Gold;Osvald (-Oswald) Kpp
1928 Summer;Wrestling Men's Lightweight, Greco-Roman;Bronze;Edvard Vilhelm Westerlund
1928 Summer;Wrestling Men's Lightweight, Greco-Roman;Silver;"Georg Eduard ""Ede"" Sperling"
1928 Summer;Wrestling Men's Lightweight, Greco-Roman;Gold;Lajos Keresztes
1928 Summer;Wrestling Men's Middleweight, Freestyle;Bronze;"Samuel ""Sam"" Rabin (Rabinovitch)"
1928 Summer;Wrestling Men's Middleweight, Freestyle;Silver;Donald Parker Stockton
1928 Summer;Wrestling Men's Middleweight, Freestyle;Gold;Ernst Kyburz
1928 Summer;Wrestling Men's Middleweight, Greco-Roman;Bronze;Albert Eduard Kusnets
1928 Summer;Wrestling Men's Middleweight, Greco-Roman;Silver;Lszl Papp
1928 Summer;Wrestling Men's Middleweight, Greco-Roman;Gold;Vin Anselmi Kokkinen
1928 Summer;Wrestling Men's Welterweight, Freestyle;Bronze;Maurice Elvin Letchford
1928 Summer;Wrestling Men's Welterweight, Freestyle;Silver;Lloyd Otto Appleton
1928 Summer;Wrestling Men's Welterweight, Freestyle;Gold;Arvo Jaakko Haavisto
1928 Winter;Bobsleigh Men's Four/Five;Bronze;Hans He
1928 Winter;Bobsleigh Men's Four/Five;Bronze;Sebastian Huber
1928 Winter;Bobsleigh Men's Four/Five;Bronze;Hanns Kilian
1928 Winter;Bobsleigh Men's Four/Five;Bronze;Valentin Krempl
1928 Winter;Bobsleigh Men's Four/Five;Bronze;Hans Ngle
1928 Winter;Bobsleigh Men's Four/Five;Silver;"Thomas Bartwell ""Tom"" Doe, Jr."
1928 Winter;Bobsleigh Men's Four/Five;Silver;David Granger
1928 Winter;Bobsleigh Men's Four/Five;Silver;Jennison Heaton
1928 Winter;Bobsleigh Men's Four/Five;Silver;Lyman Northrop Hine
1928 Winter;Bobsleigh Men's Four/Five;Silver;"James Jay ""J. J."" O'Brien"
1928 Winter;Bobsleigh Men's Four/Five;Gold;"William Mead Lindsley ""Billy"" Fiske, III"
1928 Winter;Bobsleigh Men's Four/Five;Gold;"Clifford Barton ""Cliff"" Gray"
1928 Winter;Bobsleigh Men's Four/Five;Gold;Geoffrey Travers Mason
1928 Winter;Bobsleigh Men's Four/Five;Gold;"Richard Averill ""Dick"" Parke"
1928 Winter;Bobsleigh Men's Four/Five;Gold;Nion Robert Tucker
1928 Winter;Cross Country Skiing Men's 18 kilometres;Bronze;Reidar degrd
1928 Winter;Cross Country Skiing Men's 18 kilometres;Silver;Ole Johan Hegge (Iversen-)
1928 Winter;Cross Country Skiing Men's 18 kilometres;Gold;Johan Hagbart Pedersen Grttumsbraaten
1928 Winter;Cross Country Skiing Men's 50 kilometres;Bronze;Karl Volger Andersson
1928 Winter;Cross Country Skiing Men's 50 kilometres;Silver;Karl Gustaf Jonsson
1928 Winter;Cross Country Skiing Men's 50 kilometres;Gold;Per Erik Hedlund
1928 Winter;Figure Skating Men's Singles;Bronze;Robert Van Zeebroeck
1928 Winter;Figure Skating Men's Singles;Silver;"Wilhelm Richard ""Willy"" Bckl"
1928 Winter;Figure Skating Men's Singles;Gold;Gillis Emanuel Grafstrm
1928 Winter;Figure Skating Mixed Pairs;Bronze;Melitta Brunner (-Kreckow)
1928 Winter;Figure Skating Mixed Pairs;Bronze;Ludwig Wrede
1928 Winter;Figure Skating Mixed Pairs;Silver;Otto Kaiser
1928 Winter;Figure Skating Mixed Pairs;Silver;Lilly Scholz (-Gaillard)
1928 Winter;Figure Skating Mixed Pairs;Gold;Pierre mile Ernest Brunet
1928 Winter;Figure Skating Mixed Pairs;Gold;Andre Marguerite Blanche Brunet-Joly
1928 Winter;Figure Skating Women's Singles;Bronze;Beatrix Suzetta Loughran (-Harvey)
1928 Winter;Figure Skating Women's Singles;Silver;"Friederike ""Fritzi"" Burger (-Nishikawa-, -Russell)"
1928 Winter;Figure Skating Women's Singles;Gold;Sonja Henie (-Topping, -Gardiner, -Onstad)
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Giannin ""Gian"" Andreossi"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Munrezzan ""Mezzi"" Andreossi"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Robert ""Bobby"" Breiter"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;Louis Dufour, Jr.
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Charles ""Charly"" Fasel"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;Albert Geromini
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Friedrich Hermann Heinrich ""Fritz"" Kraatz"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Arnoldo Giovanni ""Arnold"" Martignoni"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Heinrich ""Heini"" Meng"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Anton ""Toni"" Morosani"
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;Luzius Redi
1928 Winter;Ice Hockey Men's Ice Hockey;Bronze;"Riccardo ""Bibi"" Torriani"
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Karl Gustaf Emanuel Abrahamsson
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Emil Bergman
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Birger Ivar Holmqvist
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Julius Gustaf Mauritz Johansson
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Henry Johan Johansson
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Nils ke Torsten Johansson (-Ingwe)
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Ernst Wilhelm Ludvig Karlberg
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Erik Waldemar Larsson
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Knut Bertil Hilding Linde
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Sigfrid Emil berg
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Wilhelm Knut Petersn
1928 Winter;Ice Hockey Men's Ice Hockey;Silver;Kurt Sucksdorff
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Frederick Charles ""Charlie"" Delahey"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Franklyn Wood ""Frank"" Fisher"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Henry Dewey Louis ""Lou"" Hudson"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Norbert Edward ""Stuffy"" Mueller"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Herbert Alfred Wellington ""Bert"" Plaxton"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;Hugh John Plaxton
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Hayward Alan Roger ""Rod"" Plaxton"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"John Chester ""Jack"" Porter"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Francis Gerald ""Frank"" Sullivan"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"Joseph Albert Taylor ""Joe"" Sullivan"
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;Ross Croft Taylor
1928 Winter;Ice Hockey Men's Ice Hockey;Gold;"David ""Dave"" Trottier"
1928 Winter;Nordic Combined Men's Individual;Bronze;John Andersen Snersrud
1928 Winter;Nordic Combined Men's Individual;Silver;Hans Vinjarengen
1928 Winter;Nordic Combined Men's Individual;Gold;Johan Hagbart Pedersen Grttumsbraaten
1928 Winter;Skeleton Men's Skeleton;Bronze;David Ludovic George Hopetoun Carnegie
1928 Winter;Skeleton Men's Skeleton;Silver;"John Rutherford ""Jack"" Heaton"
1928 Winter;Skeleton Men's Skeleton;Gold;Jennison Heaton
1928 Winter;Ski Jumping Men's Normal Hill, Individual;Bronze;Rudolf Burkert
1928 Winter;Ski Jumping Men's Normal Hill, Individual;Silver;Sigmund Ruud
1928 Winter;Ski Jumping Men's Normal Hill, Individual;Gold;Alf Steen Andersen
1928 Winter;Speed Skating Men's 1,500 metres;Bronze;Ivar Eugen Ballangrud (Eriksen-)
1928 Winter;Speed Skating Men's 1,500 metres;Silver;Bernt Sverre Evensen
1928 Winter;Speed Skating Men's 1,500 metres;Gold;Arnold Clas Robert Thunberg
1928 Winter;Speed Skating Men's 5,000 metres;Bronze;Bernt Sverre Evensen
1928 Winter;Speed Skating Men's 5,000 metres;Silver;Julius Ferninand Skutnabb
1928 Winter;Speed Skating Men's 5,000 metres;Gold;Ivar Eugen Ballangrud (Eriksen-)
1928 Winter;Speed Skating Men's 500 metres;Bronze;John O'Neil Farrell
1928 Winter;Speed Skating Men's 500 metres;Bronze;Jaakko Johannes Friman
1928 Winter;Speed Skating Men's 500 metres;Bronze;Roald Morel Larsen
1928 Winter;Speed Skating Men's 500 metres;Gold;Bernt Sverre Evensen
1928 Winter;Speed Skating Men's 500 metres;Gold;Arnold Clas Robert Thunberg
1932 Summer;Alpinism Mixed Alpinism;Gold;Franz Xaver Schmid
1932 Summer;Alpinism Mixed Alpinism;Gold;"Anton ""Toni"" Schmid"
1932 Summer;Art Competitions Mixed Architecture, Architectural Designs;Bronze;Richard Konwiarz
1932 Summer;Art Competitions Mixed Architecture, Architectural Designs;Silver;John Russell Pope
1932 Summer;Art Competitions Mixed Architecture, Architectural Designs;Gold;Flix Pierre Victor Bailly
1932 Summer;Art Competitions Mixed Architecture, Architectural Designs;Gold;Pierre Montenot
1932 Summer;Art Competitions Mixed Architecture, Architectural Designs;Gold;Jean Baptiste Marie Gustave Saack
1932 Summer;Art Competitions Mixed Architecture, Designs For Town Planning;Bronze;Andr Verbeke
1932 Summer;Art Competitions Mixed Architecture, Designs For Town Planning;Silver;Jens Houmller Klemmensen
1932 Summer;Art Competitions Mixed Architecture, Designs For Town Planning;Gold;John Hughes
1932 Summer;Art Competitions Mixed Literature;Silver;Josef Petersen
1932 Summer;Art Competitions Mixed Literature;Gold;Paul Friedrich Peter Bauer
1932 Summer;Art Competitions Mixed Music;Silver;Josef (Jaroslav) Suk
1932 Summer;Art Competitions Mixed Painting, Drawings And Water Colors;Bronze;"Gerhardus Bernardus Josephus ""Gerard"" Westermann"
1932 Summer;Art Competitions Mixed Painting, Drawings And Water Colors;Silver;Percy Leo Crosby
1932 Summer;Art Competitions Mixed Painting, Drawings And Water Colors;Gold;Lee Everett Blair
1932 Summer;Art Competitions Mixed Painting, Graphic Arts;Bronze;Joachim Karsch
1932 Summer;Art Competitions Mixed Painting, Graphic Arts;Silver;Janina Konarska-Sonimska (Seideman-)
1932 Summer;Art Competitions Mixed Painting, Graphic Arts;Gold;Joseph Webster Golinkin
1932 Summer;Art Competitions Mixed Painting, Paintings;Silver;Ruth Blanchard Miller (-Fracker)
1932 Summer;Art Competitions Mixed Painting, Paintings;Gold;David August Wallin
1932 Summer;Art Competitions Mixed Sculpturing, Medals And Reliefs;Bronze;Robert Tait McKenzie
1932 Summer;Art Competitions Mixed Sculpturing, Medals And Reliefs;Silver;Frederick William MacMonnies
1932 Summer;Art Competitions Mixed Sculpturing, Medals And Reliefs;Gold;Jzef Klukowski
1932 Summer;Art Competitions Mixed Sculpturing, Statues;Bronze;Jakub Obrovsk
1932 Summer;Art Competitions Mixed Sculpturing, Statues;Silver;Miltiades Manno
1932 Summer;Art Competitions Mixed Sculpturing, Statues;Gold;Mahonri Mackintosh Young
1932 Summer;Athletics Men's 1,500 metres;Bronze;"Philip Aron ""Phil"" Edwards"
1932 Summer;Athletics Men's 1,500 metres;Silver;"John Frederick ""Jerry"" Cornes"
1932 Summer;Athletics Men's 1,500 metres;Gold;Luigi Beccali
1932 Summer;Athletics Men's 10,000 metres;Bronze;"Lauri Johannes ""Lasse"" Virtanen"
1932 Summer;Athletics Men's 10,000 metres;Silver;Volmari Fritijof Iso-Hollo (Hollo-)
1932 Summer;Athletics Men's 10,000 metres;Gold;Janusz Tadeusz Kusociski
1932 Summer;Athletics Men's 100 metres;Bronze;Karl Arthur Jonath
1932 Summer;Athletics Men's 100 metres;Silver;Ralph Harold Metcalfe
1932 Summer;Athletics Men's 100 metres;Gold;"Thomas Edward ""Eddie"" Tolan, Jr."
1932 Summer;Athletics Men's 110 metres Hurdles;Bronze;"Donald Osborne ""Don"" Finlay"
1932 Summer;Athletics Men's 110 metres Hurdles;Silver;Percy Morris Beard
1932 Summer;Athletics Men's 110 metres Hurdles;Gold;George J. Saling, Jr.
1932 Summer;Athletics Men's 200 metres;Bronze;Ralph Harold Metcalfe
1932 Summer;Athletics Men's 200 metres;Silver;George Sidney Simpson
1932 Summer;Athletics Men's 200 metres;Gold;"Thomas Edward ""Eddie"" Tolan, Jr."
1932 Summer;Athletics Men's 3,000 metres Steeplechase;Bronze;"Joseph Paul ""Joe"" McCluskey"
1932 Summer;Athletics Men's 3,000 metres Steeplechase;Silver;"Thomas ""Tom"" Evenson"
1932 Summer;Athletics Men's 3,000 metres Steeplechase;Gold;Volmari Fritijof Iso-Hollo (Hollo-)
1932 Summer;Athletics Men's 4 x 100 metres Relay;Bronze;Giuseppe Castelli
1932 Summer;Athletics Men's 4 x 100 metres Relay;Bronze;Ruggero Maregatti
1932 Summer;Athletics Men's 4 x 100 metres Relay;Bronze;Gabriele Salviati
1932 Summer;Athletics Men's 4 x 100 metres Relay;Bronze;Edgardo Toetti
1932 Summer;Athletics Men's 4 x 100 metres Relay;Silver;Erich Borchmeyer
1932 Summer;Athletics Men's 4 x 100 metres Relay;Silver;"Friedrich Walter ""Fritz"" Hendrix"
1932 Summer;Athletics Men's 4 x 100 metres Relay;Silver;Karl Arthur Jonath
1932 Summer;Athletics Men's 4 x 100 metres Relay;Silver;Helmut Krnig
1932 Summer;Athletics Men's 4 x 100 metres Relay;Gold;"Hector Monroe ""Hec"" Dyer"
1932 Summer;Athletics Men's 4 x 100 metres Relay;Gold;"Robert Allan ""Bob"" Kiesel"
1932 Summer;Athletics Men's 4 x 100 metres Relay;Gold;Martin Emmett Toppino
1932 Summer;Athletics Men's 4 x 100 metres Relay;Gold;Frank Clifford Wykoff
1932 Summer;Athletics Men's 4 x 400 metres Relay;Bronze;"James Allan ""Jimmy"" Ball"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Bronze;"Philip Aron ""Phil"" Edwards"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Bronze;"Raymond Gray ""Ray"" Lewis"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Bronze;"Alexander Sheldon ""Alex"" Wilson"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Silver;David George Brownlow Cecil Burghley
1932 Summer;Athletics Men's 4 x 400 metres Relay;Silver;"Thomas ""Tommy"" Hampson"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Silver;Godfrey Lionel Rampling
1932 Summer;Athletics Men's 4 x 400 metres Relay;Silver;Crew Hadlett Stoneley
1932 Summer;Athletics Men's 4 x 400 metres Relay;Gold;"Edgar Allen ""Ed"" Ablowich"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Gold;"William Arthur ""Bill"" Carr"
1932 Summer;Athletics Men's 4 x 400 metres Relay;Gold;Ivan William Fuqua
1932 Summer;Athletics Men's 4 x 400 metres Relay;Gold;Karl DeWitt Warner
1932 Summer;Athletics Men's 400 metres;Bronze;"Alexander Sheldon ""Alex"" Wilson"
1932 Summer;Athletics Men's 400 metres;Silver;"Benjamin Bangs ""Ben"" Eastman"
1932 Summer;Athletics Men's 400 metres;Gold;"William Arthur ""Bill"" Carr"
1932 Summer;Athletics Men's 400 metres Hurdles;Bronze;Frederick Morgan Taylor
1932 Summer;Athletics Men's 400 metres Hurdles;Silver;Glenn Foster Hardin
1932 Summer;Athletics Men's 400 metres Hurdles;Gold;"Robert Morton Newburgh ""Bob"" Tisdall"
1932 Summer;Athletics Men's 5,000 metres;Bronze;"Lauri Johannes ""Lasse"" Virtanen"
1932 Summer;Athletics Men's 5,000 metres;Silver;Ralph Anthony Hill
1932 Summer;Athletics Men's 5,000 metres;Gold;Lauri Aleksanteri Lehtinen
1932 Summer;Athletics Men's 50 kilometres Walk;Bronze;Ugo Frigerio
1932 Summer;Athletics Men's 50 kilometres Walk;Silver;Jnis Dli
1932 Summer;Athletics Men's 50 kilometres Walk;Gold;"Thomas William ""Tommy"" Green"
1932 Summer;Athletics Men's 800 metres;Bronze;"Philip Aron ""Phil"" Edwards"
1932 Summer;Athletics Men's 800 metres;Silver;"Alexander Sheldon ""Alex"" Wilson"
1932 Summer;Athletics Men's 800 metres;Gold;"Thomas ""Tommy"" Hampson"
1932 Summer;Athletics Men's Decathlon;Bronze;Wolrad Eberle
1932 Summer;Athletics Men's Decathlon;Silver;Akilles Eero Johannes Jrvinen
1932 Summer;Athletics Men's Decathlon;Gold;"James Aloysius Bernard ""Jim"" Bausch"
1932 Summer;Athletics Men's Discus Throw;Bronze;Henri Paul Winter
1932 Summer;Athletics Men's Discus Throw;Silver;Henri Jean LaBorde
1932 Summer;Athletics Men's Discus Throw;Gold;John Franklin Anderson
1932 Summer;Athletics Men's Hammer Throw;Bronze;"Peter Timothy ""Pete"" Zaremba"
1932 Summer;Athletics Men's Hammer Throw;Silver;"Frans Wilhelm ""Ville"" Prhl (Horneman-)"
1932 Summer;Athletics Men's Hammer Throw;Gold;"Patrick ""Pat"" O'Callaghan"
1932 Summer;Athletics Men's High Jump;Bronze;Simeon Galvez Toribio
1932 Summer;Athletics Men's High Jump;Silver;"Robert Logan ""Bob"" Van Osdel"
1932 Summer;Athletics Men's High Jump;Gold;Duncan Anderson McNaughton
1932 Summer;Athletics Men's Javelin Throw;Bronze;Eino Penttil
1932 Summer;Athletics Men's Javelin Throw;Silver;Matti Kalervo Sippala
1932 Summer;Athletics Men's Javelin Throw;Gold;Matti Henrikki Jrvinen
1932 Summer;Athletics Men's Long Jump;Bronze;Chuhei Nanbu
1932 Summer;Athletics Men's Long Jump;Silver;Charles Lambert Redd
1932 Summer;Athletics Men's Long Jump;Gold;"Edward Lansing ""Ed"" Gordon, Jr."
1932 Summer;Athletics Men's Marathon;Bronze;Armas Adam Toivonen
1932 Summer;Athletics Men's Marathon;Silver;"Samuel ""Sam"" Ferris"
1932 Summer;Athletics Men's Marathon;Gold;Juan Carlos Zabala Boyer
1932 Summer;Athletics Men's Pole Vault;Bronze;George Gordon Jefferson
1932 Summer;Athletics Men's Pole Vault;Silver;Shuhei Nishida
1932 Summer;Athletics Men's Pole Vault;Gold;"William Waring ""Bill"" Miller"
1932 Summer;Athletics Men's Shot Put;Bronze;Frantiek Douda
1932 Summer;Athletics Men's Shot Put;Silver;Harlow Phelps Rothert
1932 Summer;Athletics Men's Shot Put;Gold;Leo Joseph Sexton
1932 Summer;Athletics Men's Triple Jump;Bronze;Kenkichi Oshima
1932 Summer;Athletics Men's Triple Jump;Silver;Karl Eric Emanuel Svensson
1932 Summer;Athletics Men's Triple Jump;Gold;Chuhei Nanbu
1932 Summer;Athletics Women's 100 metres;Bronze;"Wilhelmina Catherine ""Billie"" von Bremen (-Asch)"
1932 Summer;Athletics Women's 100 metres;Silver;Hilda Gwendolyn Strike (-Sisson)
1932 Summer;Athletics Women's 100 metres;Gold;Stanisawa Walasiewicz (-Walsh, -Olson)
1932 Summer;Athletics Women's 4 x 100 metres Relay;Bronze;Nellie Halstead
1932 Summer;Athletics Women's 4 x 100 metres Relay;Bronze;Eileen May Hiscock (-Wilson)
1932 Summer;Athletics Women's 4 x 100 metres Relay;Bronze;"Gwendoline Alice ""Gwen"" Porter"
1932 Summer;Athletics Women's 4 x 100 metres Relay;Bronze;Violet Blanche Webb (-Simpson)
1932 Summer;Athletics Women's 4 x 100 metres Relay;Silver;Mildred Fizzell (-Walker)
